id,user_id,city,country,name,iata,icao,lat,lng
ae576c29-3f92-464d-a24e-8be699b4a1d9,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Budapest,Hungary,Franz Liszt International,BUD,LHBP,47.43693,19.25559
d549830a-90a9-42c9-91aa-8cfd43faddab,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Copenhagen,Denmark,Kastrup,CPH,EKCH,55.61792,12.65597
396b4148-bd30-4b98-963c-4229cb9d4318,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Amsterdam,The Netherlands,Schiphol,AMS,EHAM,52.3103,4.76028
9c028d70-7067-47bd-af11-4b744d8b1a1a,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Burgas,Bulgaria,Burgas,BOJ,LBBG,42.56958,27.51524
242e13d6-682d-4ca7-914f-6f579e3501fd,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Rome,Italy,Leonardo da Vinci-Fiumicino,FCO,LIRF,41.79352,12.25259
eb905cd2-1b07-4598-b7a8-2db84164f568,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Oslo,Norway,Gardermoen,OSL,ENGM,60.19392,11.10036
9bba640f-8719-4428-afc6-55cb317f08bb,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Stockholm,Sweden,Skavsta,NYO,ESKN,58.78864,16.91219
7cea0d62-76cb-453f-806e-555b9bee5da1,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Stockholm,Sweden,Arlanda,ARN,ESSA,59.652,17.93132
df9c54b4-1251-4420-8de6-999644458770,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Monastir,Tunisia,Habib Bourguiba,MIR,DTMB,35.75806,10.75472
de2d3777-f07a-4455-bb0e-98c5a87a6447,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Enfidha,Tunisia,Enfidha,NBE,DTNH,36.07579,10.43859
3893d2d6-4baa-4a12-b3c8-b9ed93ad2eee,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Kefallinia,Greece,Kefalinia,EFL,LGKF,38.12007,20.50048
375cf365-a285-4bce-bf69-8a2ad7a2793d,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Doha,Qatar,Doha Airport,DIA,OTBD,25.26486,51.56356
107437c2-2b62-40c4-bf4a-3fa6cd14e643,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Tokyo,Japan,Narita,NRT,RJAA,35.76472,140.38639
bdaa5dfb-40e9-4986-bb40-97ce247fb766,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Warsaw,Poland,Chopin,WAW,EPWA,52.16575,20.96712
58068f24-2708-4cef-9166-d794e5d9de49,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Istanbul,Turkey,Ataturk,ISL,LTBA,40.97692,28.81461
3f6bd7e4-930f-443f-8849-6a783cf1aede,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Frankfurt am Main,Germany,Frankfurt,FRA,EDDF,50.0406,8.55603
1f0b9d71-94f9-4760-b72c-d37deb39d4a2,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Tokyo,Japan,Haneda,HND,RJTT,35.55226,139.77969
3aaef833-cd7a-4b43-9bfb-ab8e4b9f362f,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Naha,Japan,Naha,OKA,ROAH,26.19581,127.64587
08dc815f-85c4-40c8-9ffa-7526e51684ea,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Ishigaki I,Japan,Ishigaki,ISG,ROIG,24.39693,124.24675
ee39fa6b-89f9-4a84-82b6-1aeefe74b053,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,Seoul,Korea,Incheon,ICN,RKSI,37.4492,126.45095
