id,user_id,date,flight_number,from,to,departure_time,arrival_time,duration,airline,aircraft,registration,seat_number,seat_type,flight_class,flight_reason,note
495f4d00-ba08-496b-b37a-d1ae0719a373,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2006-03-09,5P853,ae576c29-3f92-464d-a24e-8be699b4a1d9,d549830a-90a9-42c9-91aa-8cfd43faddab,13:05:00,15:05:00,02:00:00,8dd3a4ae-259e-42ea-8052-87028dd94424,ef344faf-d74e-40fd-8a5b-56256b9c8834,HA-LKV,23F,Window,Economy,Leisure,
98e015d3-256a-4e68-9447-79163e633246,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2006-03-14,5P852,d549830a-90a9-42c9-91aa-8cfd43faddab,ae576c29-3f92-464d-a24e-8be699b4a1d9,15:35:00,17:25:00,01:50:00,8dd3a4ae-259e-42ea-8052-87028dd94424,ef344faf-d74e-40fd-8a5b-56256b9c8834,,3A,Window,Economy,Leisure,
8f40ee3d-9c3b-4abb-bc51-2f9605340ac5,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-02-01,5P600,ae576c29-3f92-464d-a24e-8be699b4a1d9,396b4148-bd30-4b98-963c-4229cb9d4318,07:10:00,09:30:00,02:20:00,8dd3a4ae-259e-42ea-8052-87028dd94424,ef344faf-d74e-40fd-8a5b-56256b9c8834,,17A,Window,Economy,Leisure,
609e5591-3c78-43c3-9ac4-28d96318705f,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-02-06,5P607,396b4148-bd30-4b98-963c-4229cb9d4318,ae576c29-3f92-464d-a24e-8be699b4a1d9,20:30:00,22:40:00,02:10:00,8dd3a4ae-259e-42ea-8052-87028dd94424,ef344faf-d74e-40fd-8a5b-56256b9c8834,,8F,Window,Economy,Leisure,
18c2e3b3-7ce0-498b-95a1-73936656c438,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-09-01,5P1850,ae576c29-3f92-464d-a24e-8be699b4a1d9,9c028d70-7067-47bd-af11-4b744d8b1a1a,18:05:00,20:40:00,01:35:00,8dd3a4ae-259e-42ea-8052-87028dd94424,9bc25759-309d-4a83-93d5-5b5b9d107a02,,1F,Window,Economy,Leisure,
27c952c3-175d-4393-83c8-4885b61f93d6,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-09-04,5P1851,9c028d70-7067-47bd-af11-4b744d8b1a1a,ae576c29-3f92-464d-a24e-8be699b4a1d9,21:20:00,22:00:00,01:40:00,8dd3a4ae-259e-42ea-8052-87028dd94424,9bc25759-309d-4a83-93d5-5b5b9d107a02,,8A,Window,Economy,Leisure,
89ab06b6-f5cb-4eab-a319-4e4e7a504bf4,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-09-20,5P852,ae576c29-3f92-464d-a24e-8be699b4a1d9,d549830a-90a9-42c9-91aa-8cfd43faddab,13:05:00,15:05:00,02:00:00,8dd3a4ae-259e-42ea-8052-87028dd94424,9bc25759-309d-4a83-93d5-5b5b9d107a02,,3A,Window,Economy,Leisure,
5b2390c7-838a-4c3b-8be1-c3231baf1353,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-09-23,5P853,d549830a-90a9-42c9-91aa-8cfd43faddab,ae576c29-3f92-464d-a24e-8be699b4a1d9,19:55:00,21:45:00,01:50:00,8dd3a4ae-259e-42ea-8052-87028dd94424,9bc25759-309d-4a83-93d5-5b5b9d107a02,,2F,Window,Economy,Leisure,
32f98f9d-ed5a-4e68-8671-b661579d1f68,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-10-14,5P390,ae576c29-3f92-464d-a24e-8be699b4a1d9,242e13d6-682d-4ca7-914f-6f579e3501fd,13:00:00,14:45:00,01:45:00,8dd3a4ae-259e-42ea-8052-87028dd94424,20ff1ca6-197c-4c5d-acb4-00537b36d88e,HA-LKM,2D,Aisle,Economy,Leisure,
bc719260-8656-4808-aac2-fc4b0e6bea9b,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-10-15,5P391,242e13d6-682d-4ca7-914f-6f579e3501fd,ae576c29-3f92-464d-a24e-8be699b4a1d9,15:30:00,17:15:00,01:45:00,8dd3a4ae-259e-42ea-8052-87028dd94424,20ff1ca6-197c-4c5d-acb4-00537b36d88e,HA-LKM,4A,Window,Economy,Leisure,
ced35409-8ebd-4453-89a4-0cbdcb556019,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-11-05,MA662,ae576c29-3f92-464d-a24e-8be699b4a1d9,396b4148-bd30-4b98-963c-4229cb9d4318,09:25:00,11:35:00,02:10:00,d8ee446b-d62f-4391-90fc-c08c4c40a48c,9ec899f5-9fe1-4856-b47d-2f82660ecde6,,9D,Aisle,Economy,Business,Menzies
cb22a8ef-a964-44db-9b6c-a494dff018e6,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-11-05,KL1147,396b4148-bd30-4b98-963c-4229cb9d4318,eb905cd2-1b07-4598-b7a8-2db84164f568,14:55:00,16:45:00,01:50:00,ae290bbc-85ad-435a-9b8a-bb0cd7597545,9bc25759-309d-4a83-93d5-5b5b9d107a02,,20B,Middle,Economy,Business,Menzies
e820edf3-2cf2-4dac-a9a0-596edc6a4470,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2007-11-12,KL1148,eb905cd2-1b07-4598-b7a8-2db84164f568,396b4148-bd30-4b98-963c-4229cb9d4318,17:40:00,19:35:00,01:55:00,ae290bbc-85ad-435a-9b8a-bb0cd7597545,9bc25759-309d-4a83-93d5-5b5b9d107a02,,20A,Window,Economy,Business,Menzies
