
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2006-03-09,5P853,"Budapest / Franz Liszt International (BUD/LHBP)","Copenhagen / Kastrup (CPH/EKCH)",13:05:00,15:05:00,02:00:00,"Sky Europe Airlines (5P/HSK)","Boeing 737-500 (B735)",HA-LKV,23F,1,1,1,,429,606,957,228
2006-03-14,5P852,"Copenhagen / Kastrup (CPH/EKCH)","Budapest / Franz Liszt International (BUD/LHBP)",15:35:00,17:25:00,01:50:00,"Sky Europe Airlines (5P/HSK)","Boeing 737-500 (B735)",,3A,1,1,1,,606,429,957,228
2007-02-01,5P600,"Budapest / Franz Liszt International (BUD/LHBP)","Amsterdam / Schiphol (AMS/EHAM)",07:10:00,09:30:00,02:20:00,"Sky Europe Airlines (5P/HSK)","Boeing 737-500 (B735)",,17A,1,1,1,,429,122,957,228
2007-02-06,5P607,"Amsterdam / Schiphol (AMS/EHAM)","Budapest / Franz Liszt International (BUD/LHBP)",20:30:00,22:40:00,02:10:00,"Sky Europe Airlines (5P/HSK)","Boeing 737-500 (B735)",,8F,1,1,1,,122,429,957,228
2007-09-01,5P1850,"Budapest / Franz Liszt International (BUD/LHBP)","Burgas / Burgas (BOJ/LBBG)",18:05:00,20:40:00,01:35:00,"Sky Europe Airlines (5P/HSK)","Boeing 737 (B73X)",,1F,1,1,1,,429,374,957,2009
2007-09-04,5P1851,"Burgas / Burgas (BOJ/LBBG)","Budapest / Franz Liszt International (BUD/LHBP)",21:20:00,22:00:00,01:40:00,"Sky Europe Airlines (5P/HSK)","Boeing 737 (B73X)",,8A,1,1,1,,374,429,957,2009
2007-09-20,5P852,"Budapest / Franz Liszt International (BUD/LHBP)","Copenhagen / Kastrup (CPH/EKCH)",13:05:00,15:05:00,02:00:00,"Sky Europe Airlines (5P/HSK)","Boeing 737 (B73X)",,3A,1,1,1,,429,606,957,2009
2007-09-23,5P853,"Copenhagen / Kastrup (CPH/EKCH)","Budapest / Franz Liszt International (BUD/LHBP)",19:55:00,21:45:00,01:50:00,"Sky Europe Airlines (5P/HSK)","Boeing 737 (B73X)",,2F,1,1,1,,606,429,957,2009
2007-10-14,5P390,"Budapest / Franz Liszt International (BUD/LHBP)","Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF)",13:00:00,14:45:00,01:45:00,"Sky Europe Airlines (5P/HSK)","Boeing 737-700 (B737)",HA-LKM,2D,3,1,1,,429,872,957,230
2007-10-15,5P391,"Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF)","Budapest / Franz Liszt International (BUD/LHBP)",15:30:00,17:15:00,01:45:00,"Sky Europe Airlines (5P/HSK)","Boeing 737-700 (B737)",HA-LKM,4A,1,1,1,,872,429,957,230
2007-11-05,MA662,"Budapest / Franz Liszt International (BUD/LHBP)","Amsterdam / Schiphol (AMS/EHAM)",09:25:00,11:35:00,02:10:00,"MALEV Hungarian Airlines (MA/MAH)","Fokker 70 (F70)",,9D,3,1,2,Menzies,429,122,505,735
2007-11-05,KL1147,"Amsterdam / Schiphol (AMS/EHAM)","Oslo / Gardermoen (OSL/ENGM)",14:55:00,16:45:00,01:50:00,"KLM Royal Dutch Airlines (KL/KLM)","Boeing 737 (B73X)",,20B,2,1,2,Menzies,122,2219,440,2009
2007-11-12,KL1148,"Oslo / Gardermoen (OSL/ENGM)","Amsterdam / Schiphol (AMS/EHAM)",17:40:00,19:35:00,01:55:00,"KLM Royal Dutch Airlines (KL/KLM)","Boeing 737 (B73X)",,20A,1,1,2,Menzies,2219,122,440,2009
2007-11-12,MA669,"Amsterdam / Schiphol (AMS/EHAM)","Budapest / Franz Liszt International (BUD/LHBP)",20:30:00,22:30:00,02:00:00,"MALEV Hungarian Airlines (MA/MAH)","Boeing 737 (B73X)",,10A,1,1,2,Menzies,122,429,505,2009
2008-04-15,W60277,"Budapest / Franz Liszt International (BUD/LHBP)","Stockholm / Skavsta (NYO/ESKN)",12:35:00,14:40:00,02:05:00,"Wizz Air (W6/WZZ)","Airbus A320 (A320)",HA-LPD,4A,1,1,1,,429,2136,859,27
2008-04-18,NB457,"Stockholm / Arlanda (ARN/ESSA)","Copenhagen / Kastrup (CPH/EKCH)",16:20:00,17:35:00,01:15:00,"Sterling (NB/SNB)","Boeing 737 (B73X)",,5C,3,1,1,,3622,606,716,2009
2008-04-20,NB567,"Copenhagen / Kastrup (CPH/EKCH)","Budapest / Franz Liszt International (BUD/LHBP)",11:10:00,13:15:00,02:05:00,"Sterling (NB/SNB)","Boeing 737-700 (B737)",OY-MRG,2C,3,1,1,,606,429,716,230
2008-09-22,NB568,"Budapest / Franz Liszt International (BUD/LHBP)","Copenhagen / Kastrup (CPH/EKCH)",12:20:00,14:30:00,02:10:00,"Sterling (NB/SNB)","Boeing 737 (B73X)",,1F,1,1,1,,429,606,716,2009
2008-11-14,SK1470,"Copenhagen / Kastrup (CPH/EKCH)","Oslo / Gardermoen (OSL/ENGM)",19:10:00,20:20:00,01:10:00,"Scandinavian Airlines (SK/SAS)","Boeing 737-800 (B738)",LN-RRL,27C,3,1,1,"AC: Jarlabanke Viking",606,2219,677,231
